id,delta acc,Delta latency,Delta MACs,Average current,Energy,Delta enegy,,
21_all,1.3,,,,,,20 Bias,85.15
21_half,0.870000000000005,,,,,,,497
22_all,,NA,256000,,,,,
22_half,,NA,128000,,,,,
23_all,1.16,20,491520,393.93,1.01830905,0.0445121000000001,,31918102
23_half,1.19,11,245760,394.17,1.0011918,0.02739485,,391.87
24_all,0.870000000000005,21,442368,394.23,1.0210557,0.04725875,,0.97379695
24_half,0.590000000000003,8,221184,394.52,0.996163,0.02236605,,
25_all,,NA,82944,,,,,
25_half,,NA,41472,,,,,
26_all,0.669999999999988,19,442368,394.45,1.017681,0.0438840500000001,,
26_half,0.329999999999998,13,221184,394.54,1.006077,0.0322800500000001,,
27_all,1.36999999999999,28,589824,394.57,1.03574625,0.0619493000000001,25 bias,85.36
27_half,0.819999999999993,10,294912,394.17,0.99922095,0.0254240000000001,,
28_all,0.019999999999996,NA,110592,,,,,
28_half,0.199999999999989,NA,55296,,,,,
29_all,0.649999999999992,23,589824,394.18,1.024868,0.0510710499999999,,
29_half,0.539999999999992,15,294912,394.23,1.0092288,0.03543185,,
30_all,1.55,31,737280,394.23,1.0407672,0.0669702500000001,,
30_half,1.23999999999999,13,368640,394.38,1.005669,0.0318720499999999,,
31_all,0.199999999999989,NA,NA,,,,,
31_half,0.22999999999999,NA,NA,,,,,
32_all,1.11999999999999,27,368640,393.97,1.0322014,0.0584044499999999,,
32_half,1.5,13,184320,394.4,1.00572,0.03192305,,
33_all,0.439999999999998,38,589824,393.03,1.05135525,0.0775583000000001,,
33_half,0.519999999999996,23,294912,393.48,1.023048,0.04925105,,
34_all,0,NA,153600,,,,,
34_half,0.0999999999999943,NA,76800,,,,,
35_full,1.11999999999999,40,589824,393.93,1.05770205,0.0839051000000001,,
35_half,0.509999999999991,20,294912,394.14,1.0188519,0.0450549499999998,,
36_full,0.899999999999992,38,589824,394.17,1.05440475,0.0806078,,
36_half,0.549999999999997,20,294912,394.01,1.01851585,0.0447189,,
37_all,0.0799999999999983,NA,153600,,,,,
37_half,0.0499999999999972,NA,76800,,,,,
38_all,-0.190000000000012,38,589824,,,,,
38_half,-0.180000000000007,21,294912,,,,,
39_all,3.11999999999999,52,884736,393.85,1.08111825,0.1073213,,
39_half,1.78999999999999,29,442368,393.61,1.0351943,0.0613973500000001,,
40_all,0,NA,82944,,,,,
40_half,-0.0600000000000023,NA,41472,,,,,
41_full,0.0799999999999983,32,1474560,393.98,1.0420771,0.0682801500000002,,
41_half,0.0799999999999983,41,737280,394.47,1.0611243,0.0873273500000001,,
