id,delta acc
21_all,1.3
21_half,0.87
22_all,-0.06
22_half,0.1
22_quarter,-0.23
23_all,1.16
23_half,1.19
23_quarter,0.78
24_all,0.87
24_half,0.59
24_quarter,0
25_all,0
25_half,0
25_quarter,-0.19
26_all,0.67
26_half,0.33
26_quarter,0.13
27_all,1.37
27_half,0.82
27_quarter,0.38
28_all,0.02
28_half,0.2
28_quarter,-0.26
29_all,0.65
29_half,0.54
29_quarter,0.08
30_all,1.55
30_half,1.24
30_quarter,0.47
31_all,0.2
31_half,0.23
31_quarter,-0.16
32_all,1.12
32_half,1.5
32_quarter,0.52
33_all,0.44
33_half,0.52
33_quarter,0.46
34_all,0
34_half,0.1
34_quarter,-0.16
35_all,1.12
35_half,0.51
35_quarter,0.1
36_all,0.9
36_half,0.55
36_quarter,0.33
37_all,0.08
37_half,0.05
37_quarter,-0.13
38_all,-0.19
38_half,-0.18
38_quarter,0.05
39_all,3.12
39_half,1.79
39_quarter,0.72
40_all,0
40_half,-0.06
40_quarter,-0.16
41_all,0.08
41_half,0.08
41_quarter,-0.26
